title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,501 Crescent Way APT 5111,San Francisco,CA,94134,"$699,000","2 bds , 2 ba , 875 sqft",Morgan Lashley,https://www.zillow.com/homedetails/501-Crescent-Way-APT-5111-San-Francisco-CA-94134/79846170_zpid/
House For Sale,1361 Brussels St,San Francisco,CA,94134,"$699,000","2 bds , 2 ba , 1,407 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1361-Brussels-St-San-Francisco-CA-94134/15173218_zpid/
Condo For Sale,301 Crescent Ct APT 3217,San Francisco,CA,94134,"$460,285","1 bd , 1 ba , 807 sqft","eXp Realty of CA, Inc",https://www.zillow.com/homedetails/301-Crescent-Ct-APT-3217-San-Francisco-CA-94134/79525140_zpid/
House For Sale,150 Wilde Ave,San Francisco,CA,94134,"$595,000","1 bd , 1 ba , 550 sqft",,https://www.zillow.com/homedetails/150-Wilde-Ave-San-Francisco-CA-94134/15173167_zpid/
Condo For Sale,211 Pelican Cove Ter,San Francisco,CA,94134,"$895,000","3 bds , 3.5 ba , 1,525 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/211-Pelican-Cove-Ter-San-Francisco-CA-94134/111711267_zpid/
House For Sale,1054 Brussels St,San Francisco,CA,94134,"$815,000","3 bds , 2 ba , 1,007 sqft",Better Homes and Gardens Real Estate J.F. Finnegan Realtors,https://www.zillow.com/homedetails/1054-Brussels-St-San-Francisco-CA-94134/15172666_zpid/
House For Sale,242 Yale St,San Francisco,CA,94134,"$988,888","4 bds , 3 ba , 1,500 sqft",,https://www.zillow.com/homedetails/242-Yale-St-San-Francisco-CA-94134/15168386_zpid/
Condo For Sale,1 Crescent Way APT 1102,San Francisco,CA,94134,"$510,283","2 bds , 2 ba , 1,063 sqft",Real Estate Revolution,https://www.zillow.com/homedetails/1-Crescent-Way-APT-1102-San-Francisco-CA-94134/64971669_zpid/
House For Sale,58 Bishop St,San Francisco,CA,94134,"$1,300,000","3 bds , 2 ba , 1,675 sqft",Carrion Realty,https://www.zillow.com/homedetails/58-Bishop-St-San-Francisco-CA-94134/15172587_zpid/
House For Sale,16 Lois Ln,San Francisco,CA,94134,"$1,099,800","3 bds , 3 ba , 1,850 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/16-Lois-Ln-San-Francisco-CA-94134/15155181_zpid/
House For Sale,210 Teddy Ave,San Francisco,CA,94134,"$1,280,000","5 bds , 3 ba , 1,958 sqft",,https://www.zillow.com/homedetails/210-Teddy-Ave-San-Francisco-CA-94134/15173616_zpid/
House For Sale,360 Sweeny St,San Francisco,CA,94134,"$895,000","3 bds , 1 ba , 1,170 sqft",PACIFIC INVESTMENTS BUS. SERV.,https://www.zillow.com/homedetails/360-Sweeny-St-San-Francisco-CA-94134/15165211_zpid/
Coming Soon,1 Crescent Way APT 1204,San Francisco,CA,94134,"$538,000","1 bd , 1 ba , 814 sqft",,https://www.zillow.com/homedetails/1-Crescent-Way-APT-1204-San-Francisco-CA-94134/64971790_zpid/
House For Sale,30 Hahn St,San Francisco,CA,94134,"$998,000","4 bds , 2 ba , 1,676 sqft",,https://www.zillow.com/homedetails/30-Hahn-St-San-Francisco-CA-94134/111932800_zpid/
