title,address,city,state,postal_code,price,facts and features,real estate provider,url
Apartment For Sale,639 35th Ave,San Francisco,CA,94121,"$2,295,000","8 bds , 6 ba , 3,157 sqft",,https://www.zillow.com/homedetails/639-35th-Ave-San-Francisco-CA-94121/2099976986_zpid/
Apartment For Sale,639 41 35th Ave,San Francisco,CA,94121,"$2,295,000","Studio , -- ba , 3,157 sqft",McGuire Real Estate,https://www.zillow.com/homedetails/639-41-35th-Ave-San-Francisco-CA-94121/2090900681_zpid/
Condo For Sale,195 25th Ave APT 401,San Francisco,CA,94121,"$1,249,000","2 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/195-25th-Ave-APT-401-San-Francisco-CA-94121/15088992_zpid/
House For Sale,575 35th Ave,San Francisco,CA,94121,"$2,250,000","4 bds , 3.5 ba , 2,500 sqft","Andersen, Jung & Co.",https://www.zillow.com/homedetails/575-35th-Ave-San-Francisco-CA-94121/15093477_zpid/
House For Sale,368 17th Ave,San Francisco,CA,94121,"$1,395,000","2 bds , 1 ba , 1,810 sqft",Coldwell Banker Residential Brokerage - San Francisco Sunset,https://www.zillow.com/homedetails/368-17th-Ave-San-Francisco-CA-94121/15091857_zpid/
Apartment For Sale,870 874 47th Ave,San Francisco,CA,94121,"$3,200,000","Studio , -- ba , 4,900 sqft",Asia Pacific Groups,https://www.zillow.com/homedetails/870-874-47th-Ave-San-Francisco-CA-94121/2090922052_zpid/
Apartment For Sale,366-368 24TH Ave,SAN FRANCISCO,CA,94121,"$1,595,000","Studio , -- ba , 3,452 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/366-368-24TH-Ave-San-Francisco-CA-94121/15090928_zpid/
House For Sale,538 33rd Ave,San Francisco,CA,94121,"$1,188,000","4 bds , 2.75 ba , 1,788 sqft",,https://www.zillow.com/homedetails/538-33rd-Ave-San-Francisco-CA-94121/15093639_zpid/
Apartment For Sale,3214 Balboa St,San Francisco,CA,94121,"$1,998,000","Studio , -- ba , 4,614 sqft",,https://www.zillow.com/homedetails/3214-Balboa-St-San-Francisco-CA-94121/2125826009_zpid/
House For Sale,5601 Anza St,San Francisco,CA,94121,"$2,995,000","5 bds , 5 ba , 3,221 sqft",Century 21 Real Estate Alliance,https://www.zillow.com/homedetails/5601-Anza-St-San-Francisco-CA-94121/15096408_zpid/
House For Sale,890 35th Ave,San Francisco,CA,94121,"$1,795,000","4 bds , 1.5 ba , 2,360 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/890-35th-Ave-San-Francisco-CA-94121/15099939_zpid/
Condo For Sale,441 19th Ave,San Francisco,CA,94121,"$1,595,000","4 bds , 3 ba , 2,628 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/441-19th-Ave-San-Francisco-CA-94121/2142514728_zpid/
Apartment For Sale,2747-2749 Clement St,SAN FRANCISCO,CA,94121,"$1,380,000","Studio , -- ba , 2,520 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/2747-2749-Clement-St-San-Francisco-CA-94121/15092164_zpid/
House For Sale,615 45th Ave,San Francisco,CA,94121,"$1,250,000","2 bds , 1 ba , 1,290 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/615-45th-Ave-San-Francisco-CA-94121/15096337_zpid/
Apartment For Sale,1918-1922 Clement Street,San Francisco,CA,94121,"$2,180,000","Studio , -- ba , 3,934 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/1918-1922-Clement-Street-San-Francisco-CA-94121/2095132162_zpid/
House For Sale,739 48th Ave,San Francisco,CA,94121,"$1,295,000","3 bds , 2 ba , -- sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/739-48th-Ave-San-Francisco-CA-94121/15096577_zpid/
Condo For Sale,155 24th Ave APT 5,San Francisco,CA,94121,"$1,795,000","3 bds , 2 ba , 1,626 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/155-24th-Ave-APT-5-San-Francisco-CA-94121/15089034_zpid/
Apartment For Sale,512-514 35TH Ave,SAN FRANCISCO,CA,94121,"$1,479,000","Studio , -- ba , 1,820 sqft","Wong Realty, Inc., Basalle",https://www.zillow.com/homedetails/512-514-35TH-Ave-San-Francisco-CA-94121/15093545_zpid/
House For Sale,806 32nd Ave,San Francisco,CA,94121,"$1,899,000","3 bds , 3 ba , 2,300 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/806-32nd-Ave-San-Francisco-CA-94121/15099822_zpid/
Apartment For Sale,550-552 20TH Ave,SAN FRANCISCO,CA,94121,"$1,995,000","6 bds , 4 ba , 2,720 sqft",Laurel Realty & Investment,https://www.zillow.com/homedetails/550-552-20TH-Ave-San-Francisco-CA-94121/15095308_zpid/
Condo For Sale,499 33rd Ave APT 301,San Francisco,CA,94121,"$998,000","3 bds , 2.5 ba , 1,299 sqft",AGH Realty Group Corp.,https://www.zillow.com/homedetails/499-33rd-Ave-APT-301-San-Francisco-CA-94121/64972337_zpid/
Apartment For Sale,309 29th Ave,San Francisco,CA,94121,"$1,990,000","Studio , -- ba , 3,250 sqft","Hannah Investment, Inc.",https://www.zillow.com/homedetails/309-29th-Ave-San-Francisco-CA-94121/2104856425_zpid/
House For Sale,308 Sea Cliff Ave,San Francisco,CA,94121,"$13,000,000","4 bds , 5 ba , 4,180 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/308-Sea-Cliff-Ave-San-Francisco-CA-94121/15088689_zpid/
