title,address,city,state,postal_code,price,facts and features,real estate provider,url
Apartment For Sale,1671-1675 Turk St,SAN FRANCISCO,CA,94115,"$1,575,000","Studio , -- ba , 2,000 sqft",Hill & Co.,https://www.zillow.com/homedetails/1671-1675-Turk-St-San-Francisco-CA-94115/15077532_zpid/
New Construction,2121 Webster St # EG2AUU,San Francisco,CA,94115,"$9,950,000+","3 bds , 4 ba , 3,031+ sqft",,https://www.zillow.com/community/pacific/2093737634_zpid/
Apartment For Sale,2703 Jackson St,San Francisco,CA,94115,"$3,600,000","Studio , 2 ba , -- sqft",,https://www.zillow.com/homedetails/2703-Jackson-St-San-Francisco-CA-94115/2090909518_zpid/
Apartment For Sale,2703 2705 Jackson St,San Francisco,CA,94115,"$3,600,000","Studio , -- ba , -- sqft",Alain Pinel Investment Group,https://www.zillow.com/homedetails/2703-2705-Jackson-St-San-Francisco-CA-94115/2090910940_zpid/
New Construction,2121 Webster St # 71CQX5,San Francisco,CA,94115,"$3,595,000+","2 bds , 2 ba , 1,793+ sqft",,https://www.zillow.com/community/pacific/2093980393_zpid/
Condo For Sale,720 Presidio Ave # 201,San Francisco,CA,94115,"$779,000","2 bds , 1.5 ba , 675 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/720-Presidio-Ave-201-San-Francisco-CA-94115/15083276_zpid/
Condo For Sale,1288 Mcallister St APT 302,San Francisco,CA,94115,"$1,499,000","2 bds , 2 ba , 1,300 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1288-Mcallister-St-APT-302-San-Francisco-CA-94115/15078068_zpid/
Coming Soon,2878 Jackson St,San Francisco,CA,94115,"$1,399,000","2 bds , 1 ba , 1,360 sqft",,https://www.zillow.com/homedetails/2878-Jackson-St-San-Francisco-CA-94115/2090938023_zpid/
Condo For Sale,1828 Eddy St UNIT 104,San Francisco,CA,94115,"$979,000","2 bds , 2 ba , 926 sqft",Berkshire Hathaway Home Services California Realty,https://www.zillow.com/homedetails/1828-Eddy-St-UNIT-104-San-Francisco-CA-94115/2090941875_zpid/
Apartment For Sale,2060 Divisadero St,San Francisco,CA,94115,"$5,995,000","Studio , -- ba , 4,809 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/2060-Divisadero-St-San-Francisco-CA-94115/2090950307_zpid/
Apartment For Sale,2148 Broderick St,San Francisco,CA,94115,"$5,200,000","Studio , -- ba , 5,675 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/2148-Broderick-St-San-Francisco-CA-94115/2116867890_zpid/
Condo For Sale,2365 Bush St,San Francisco,CA,94115,"$1,949,000","3 bds , 2 ba , 1,668 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/2365-Bush-St-San-Francisco-CA-94115/15075754_zpid/
Condo For Sale,1781 Turk St,San Francisco,CA,94115,"$1,095,000","3 bds , 1.5 ba , 1,450 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1781-Turk-St-San-Francisco-CA-94115/15085037_zpid/
House For Sale,2761 Pine St,San Francisco,CA,94115,"$4,995,000","4 bds , 6 ba , 3,525 sqft",Compass,https://www.zillow.com/homedetails/2761-Pine-St-San-Francisco-CA-94115/15083124_zpid/
Condo For Sale,1500 1504 Mcallister St # 1504A,San Francisco,CA,94115,"$1,299,000","2 bds , 2 ba , 1,211 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/1500-1504-Mcallister-St-1504A-San-Francisco-CA-94115/2091030306_zpid/
House For Sale,3001 Pacific Ave,San Francisco,CA,94115,"$16,000,000","8 bds , 6 ba , 13,643 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/3001-Pacific-Ave-San-Francisco-CA-94115/15081074_zpid/
Condo For Sale,1721 Baker St,San Francisco,CA,94115,"$1,495,000","2 bds , 2 ba , 1,812 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1721-Baker-St-San-Francisco-CA-94115/96023985_zpid/
House For Sale,2100 Broadway St,San Francisco,CA,94115,"$17,800,000","6 bds , 5 ba , 8,900 sqft",Coldwell Banker Residential Brokerage - San Francisco Lombard,https://www.zillow.com/homedetails/2100-Broadway-St-San-Francisco-CA-94115/15072640_zpid/
Condo For Sale,2999 California St APT 53,San Francisco,CA,94115,"$659,000","Studio , 1 ba , 613 sqft",,https://www.zillow.com/homedetails/2999-California-St-APT-53-San-Francisco-CA-94115/2092438730_zpid/
Condo For Sale,35 Western Shore Ln APT 3,San Francisco,CA,94115,"$575,000","2 bds , 1 ba , 840 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/35-Western-Shore-Ln-APT-3-San-Francisco-CA-94115/64972035_zpid/
Condo For Sale,1366 Turk St APT 1A,San Francisco,CA,94115,"$1,495,000","2 bds , 2 ba , 1,533 sqft",RE/MAX Westlake Investments,https://www.zillow.com/homedetails/1366-Turk-St-APT-1A-San-Francisco-CA-94115/67394408_zpid/
Condo For Sale,2945 Pacific Ave APT 9,San Francisco,CA,94115,"$1,295,000","1 bd , 1 ba , 1,032 sqft",Compass,https://www.zillow.com/homedetails/2945-Pacific-Ave-APT-9-San-Francisco-CA-94115/15081117_zpid/
Co-op For Sale,1465 Laguna St APT 4,San Francisco,CA,94115,"$580,000","2 bds , 1 ba , 850 sqft",Better Homes and Gardens Real Estate Thrive,https://www.zillow.com/homedetails/1465-Laguna-St-APT-4-San-Francisco-CA-94115/67447643_zpid/
Apartment For Sale,2136 Broderick St,San Francisco,CA,94115,"$6,400,000","Studio , -- ba , 6,585 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/2136-Broderick-St-San-Francisco-CA-94115/2106364114_zpid/
New Construction,2121 Webster Street G # 4,San Francisco,CA,94115,"$13,850,000","3 bds , 4 ba , 3,128 sqft",,https://www.zillow.com/homedetails/2121-Webster-Street-G-4-San-Francisco-CA-94115/2091508813_zpid/
