address,age,amenities,area,bath,bed,features,gross_taxes_2017,latlng,link,listing_id,price,primary_broker,property_type,school_info,sqft,strata_maintenance_fees,strata_type,sub_area
301-1978 Vine Street,24.0,"Elevator, In Suite Laundry, Storage",Vancouver West,1,1,ClthWsh/Dryr/Frdg/Stve/DW,1185.0,,https://www.rew.ca/properties/R2224832/301-1978-vine-street-vancouver-bc,R2224832,529900,RE/MAX Select Properties,Apt/Condo,"[{'distance': '0.7 km', 'address': '1551 Cypress St, Vancouver', 'grades': 'K - 7', 'name': 'Henry Hudson Elementary School', 'latitude': 49.2720412, 'longitude': -123.1483903, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.4 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}]",608,293.0,Freehold Strata,Kitsilano
301-1990 W 6th Avenue,36.0,"Bike Room, Exercise Centre, Storage",Vancouver West,1,1,"Dishwasher, Garage Door Opener, Range Top, Refrigerator, Stove",1367.0,,https://www.rew.ca/properties/R2226200/301-1990-w-6th-avenue-vancouver-bc,R2226200,718000,Prompton Real Estate Serv.Inc.,Apt/Condo,"[{'distance': '0.7 km', 'address': '1551 Cypress St, Vancouver', 'grades': 'K - 7', 'name': 'Henry Hudson Elementary School', 'latitude': 49.2720412, 'longitude': -123.1483903, 'category': 'Public'}, {'distance': '1.1 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.3 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.4 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '0.4 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '4176 Alexandra St, Vancouver', 'grades': 'K - 12', 'name': 'York House School', 'latitude': 49.249007, 'longitude': -123.141144, 'category': 'Independent'}]",774,316.0,Freehold Strata,Kitsilano
2765 W 8th Avenue,98.0,,Vancouver West,2,5,ClthWsh/Dryr/Frdg/Stve/DW,7231.0,"(49.2652941, -123.1906275)",https://www.rew.ca/properties/R2227616/2765-w-8th-avenue-vancouver-bc,R2227616,2499999,RE/MAX Crest Realty,House,"[{'distance': '0.3 km', 'address': '2268 Bayswater St, Vancouver', 'grades': 'K - 7', 'name': 'General Gordon Elementary School', 'latitude': 49.2662656, 'longitude': -123.1711593, 'category': 'Public'}, {'distance': '0.4 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.2 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}]",2301,,Freehold NonStrata,Kitsilano
2515 W 8th Avenue,1.0,,Vancouver West,3,3,"Security System, Vaulted Ceiling",0.0,"(49.2652941, -123.1906275)",https://www.rew.ca/properties/R2229910/2515-w-8th-avenue-vancouver-bc,R2229910,2028000,RE/MAX Select Properties,Duplex,"[{'distance': '0.3 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.6 km', 'address': '2268 Bayswater St, Vancouver', 'grades': 'K - 7', 'name': 'General Gordon Elementary School', 'latitude': 49.2662656, 'longitude': -123.1711593, 'category': 'Public'}, {'distance': '0.3 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}]",1553,0.0,Freehold Strata,Kitsilano
309-2565 Maple Street,1.0,"Air Cond./Central, Bike Room, Exercise Centre, Storage",Vancouver West,3,3,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Microwave, Oven-Built In, Smoke Alarm, Sprinkler - Fire",,,https://www.rew.ca/properties/R2228225/309-2565-maple-street-vancouver-bc,R2228225,1998000,RE/MAX Select Properties,Apt/Condo,"[{'distance': '1.0 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '1.0 km', 'address': '1551 Cypress St, Vancouver', 'grades': 'K - 7', 'name': 'Henry Hudson Elementary School', 'latitude': 49.2720412, 'longitude': -123.1483903, 'category': 'Public'}, {'distance': '0.1 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '0.3 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.4 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.4 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4176 Alexandra St, Vancouver', 'grades': 'K - 12', 'name': 'York House School', 'latitude': 49.249007, 'longitude': -123.141144, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4195 Alexandra St, Vancouver', 'grades': '8 - 12', 'name': 'Little Flower Academy', 'latitude': 49.248696, 'longitude': -123.14211, 'category': 'Independent'}]",1579,552.0,Freehold Strata,Kitsilano
2511 W 8th Avenue,1.0,,Vancouver West,3,3,,0.0,"(49.2645857, -123.1433693)",https://www.rew.ca/properties/R2229904/2511-w-8th-avenue-vancouver-bc,R2229904,1898000,RE/MAX Select Properties,Duplex,"[{'distance': '0.3 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.6 km', 'address': '2268 Bayswater St, Vancouver', 'grades': 'K - 7', 'name': 'General Gordon Elementary School', 'latitude': 49.2662656, 'longitude': -123.1711593, 'category': 'Public'}, {'distance': '0.3 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}]",1427,0.0,Freehold Strata,Kitsilano
3293 W 13th Avenue,25.0,,Vancouver West,5,5,ClthWsh/Dryr/Frdg/Stve/DW,9436.0,"(49.2600625, -123.1530958)",https://www.rew.ca/properties/R2225507/3293-w-13th-avenue-vancouver-bc,R2225507,3388000,Sutton Group West Coast Realty,House,"[{'distance': '0.6 km', 'address': '3400 Balaclava St, Vancouver', 'grades': 'K - 7', 'name': 'Carnarvon Community Elementary School', 'latitude': 49.2561084, 'longitude': -123.1743873, 'category': 'Public'}, {'distance': '1.0 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.8 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}]",2966,,Freehold NonStrata,Kitsilano
1312 Maple Street,40.0,Garden,Vancouver West,3,3,ClthWsh/Dryr/Frdg/Stve/DW,6283.0,"(49.264687, -123.1504953)",https://www.rew.ca/properties/R2230239/1312-maple-street-vancouver-bc,R2230239,2299000,Faith Wilson Group,Duplex,"[{'distance': '0.3 km', 'address': '1551 Cypress St, Vancouver', 'grades': 'K - 7', 'name': 'Henry Hudson Elementary School', 'latitude': 49.2720412, 'longitude': -123.1483903, 'category': 'Public'}, {'distance': '1.7 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '1.0 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '981 Nelson St, Vancouver', 'grades': '9 - 12', 'name': 'Pattison School', 'latitude': 49.28081, 'longitude': -123.124916, 'category': 'Independent'}]",1994,0.0,Freehold Strata,Kitsilano
2233 W 13th Avenue,30.0,In Suite Laundry,Vancouver West,3,3,ClthWsh/Dryr/Frdg/Stve/DW,3033.0,"(49.2600625, -123.1530958)",https://www.rew.ca/properties/R2230506/2233-w-13th-avenue-vancouver-bc,R2230506,1499900,RE/MAX Crest Realty,Duplex,"[{'distance': '0.6 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '1.4 km', 'address': '3400 Balaclava St, Vancouver', 'grades': 'K - 7', 'name': 'Carnarvon Community Elementary School', 'latitude': 49.2561084, 'longitude': -123.1743873, 'category': 'Public'}, {'distance': '0.3 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '0.3 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '0.4 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4195 Alexandra St, Vancouver', 'grades': '8 - 12', 'name': 'Little Flower Academy', 'latitude': 49.248696, 'longitude': -123.14211, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4176 Alexandra St, Vancouver', 'grades': 'K - 12', 'name': 'York House School', 'latitude': 49.249007, 'longitude': -123.141144, 'category': 'Independent'}]",1556,220.0,Freehold Strata,Kitsilano
1318 E 19th Avenue,1.0,,Vancouver East,3,3,,3777.0,"(49.2524892, -123.0601405)",https://www.rew.ca/properties/R2223896/1318-e-19th-avenue-vancouver-bc,R2223896,1399000,Nu Stream Realty Inc.,Duplex,"[{'distance': '0.5 km', 'address': '1010 East 17th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Charles Dickens Elementary School', 'latitude': 49.255005, 'longitude': -123.08331, 'category': 'Public'}, {'distance': '0.5 km', 'address': '3877 Glen Dr, Vancouver', 'grades': 'K - 3', 'name': 'Charles Dickens Annex', 'latitude': 49.25021, 'longitude': -123.0828519, 'category': 'Public'}, {'distance': '1.3 km', 'address': '419 24th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'Sir Charles Tupper Secondary School', 'latitude': 49.2492786, 'longitude': -123.0942099, 'category': 'Public'}, {'distance': '0.3 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '0.5 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '2.0 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '3075 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Westside Montessori Academy', 'latitude': 49.257032, 'longitude': -123.05013, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}]",1295,,Freehold NonStrata,Knight
3112 W 5th Avenue,97.0,,Vancouver West,2,3,ClthWsh/Dryr/Frdg/Stve/DW,8995.0,"(49.2671774, -123.1464857)",https://www.rew.ca/properties/R2230835/3112-w-5th-avenue-vancouver-bc,R2230835,2898000,RE/MAX Crest Realty,House,"[{'distance': '0.3 km', 'address': '2268 Bayswater St, Vancouver', 'grades': 'K - 7', 'name': 'General Gordon Elementary School', 'latitude': 49.2662656, 'longitude': -123.1711593, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.3 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '1.6 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}]",2632,,Freehold NonStrata,Kitsilano
3568 Point Grey Road,33.0,,Vancouver West,4,4,,9764.0,"(49.2714473, -123.168207)",https://www.rew.ca/properties/R2230464/3568-point-grey-road-vancouver-bc,R2230464,3250000,Engel & Volkers Vancouver,Duplex,"[{'distance': '0.6 km', 'address': '2251 Collingwood St, Vancouver', 'grades': 'K - 7', 'name': 'Bayview Community Elementary School', 'latitude': 49.26663, 'longitude': -123.1819809, 'category': 'Public'}, {'distance': '1.7 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.5 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.1 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}]",2050,,Freehold NonStrata,Kitsilano
