title,address,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,2655 Bush St # J3OSP7,San Francisco,CA,94115,"$1,299,000+","2 bds , 2 ba , 1,115+ sqft",,https://www.zillow.com/community/district-at-lower-pacific-heights/2090800293_zpid/
House For Sale,2709 Jackson St,San Francisco,CA,94115,"$6,895,000","7 bds , 6 ba , 6,187 sqft",,https://www.zillow.com/homedetails/2709-Jackson-St-San-Francisco-CA-94115/15081212_zpid/
House For Sale,2506 Washington St,San Francisco,CA,94115,"$3,995,000","4 bds , 2.5 ba , -- sqft",Compass,https://www.zillow.com/homedetails/2506-Washington-St-San-Francisco-CA-94115/15074029_zpid/
New Construction,2121 Webster St # EG2AUU,San Francisco,CA,94115,"$9,950,000+","3 bds , 4 ba , 3,031+ sqft",,https://www.zillow.com/community/pacific/2093737634_zpid/
Condo For Sale,1829 Laguna St,San Francisco,CA,94115,"$1,795,000","3 bds , 3 ba , 1,870 sqft",Vanguard Properties,https://www.zillow.com/homedetails/1829-Laguna-St-San-Francisco-CA-94115/2090821214_zpid/
Condo For Sale,2077 Golden Gate Ave,San Francisco,CA,94115,"$1,579,000","3 bds , 2 ba , -- sqft",Compass,https://www.zillow.com/homedetails/2077-Golden-Gate-Ave-San-Francisco-CA-94115/2118043668_zpid/
Condo For Sale,2238 Divisadero St,San Francisco,CA,94115,"$1,795,000","3 bds , 2 ba , 1,790 sqft",,https://www.zillow.com/homedetails/2238-Divisadero-St-San-Francisco-CA-94115/53153245_zpid/
New Construction,2655 Bush St # X3XVXX,San Francisco,CA,94115,"$2,420,000+","1 bd , 1 ba , 1,600+ sqft",,https://www.zillow.com/community/district-at-lower-pacific-heights/2096288445_zpid/
Condo For Sale,2529 Post St,San Francisco,CA,94115,"$1,095,000","3 bds , 1 ba , 1,510 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/2529-Post-St-San-Francisco-CA-94115/15083748_zpid/
Co-op For Sale,45 Lottie Bennett Ln APT 1,San Francisco,CA,94115,"$539,000","2 bds , 1 ba , 840 sqft",,https://www.zillow.com/homedetails/45-Lottie-Bennett-Ln-APT-1-San-Francisco-CA-94115/64972009_zpid/
Apartment For Sale,1671-1675 Turk St,SAN FRANCISCO,CA,94115,"$1,575,000","Studio , -- ba , 2,000 sqft",,https://www.zillow.com/homedetails/1671-1675-Turk-St-San-Francisco-CA-94115/15077532_zpid/
New Construction,2121 Webster St # 71CQX5,San Francisco,CA,94115,"$3,595,000+","2 bds , 2 ba , 1,793+ sqft",,https://www.zillow.com/community/pacific/2093980393_zpid/
Apartment For Sale,2703 Jackson St,San Francisco,CA,94115,"$3,600,000","Studio , 2 ba , -- sqft",,https://www.zillow.com/homedetails/2703-Jackson-St-San-Francisco-CA-94115/2090909518_zpid/
Apartment For Sale,2703 2705 Jackson St,San Francisco,CA,94115,"$3,600,000","Studio , -- ba , -- sqft",Alain Pinel Investment Group,https://www.zillow.com/homedetails/2703-2705-Jackson-St-San-Francisco-CA-94115/2090910940_zpid/
Condo For Sale,720 Presidio Ave # 201,San Francisco,CA,94115,"$779,000","2 bds , 1.5 ba , 675 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/720-Presidio-Ave-201-San-Francisco-CA-94115/15083276_zpid/
Condo For Sale,1288 Mcallister St APT 302,San Francisco,CA,94115,"$1,499,000","2 bds , 2 ba , 1,300 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1288-Mcallister-St-APT-302-San-Francisco-CA-94115/15078068_zpid/
Coming Soon,2878 Jackson St,San Francisco,CA,94115,"$1,399,000","2 bds , 1 ba , 1,360 sqft",,https://www.zillow.com/homedetails/2878-Jackson-St-San-Francisco-CA-94115/2090938023_zpid/
Condo For Sale,1828 Eddy St UNIT 104,San Francisco,CA,94115,"$979,000","2 bds , 2 ba , 926 sqft",Berkshire Hathaway Home Services California Realty,https://www.zillow.com/homedetails/1828-Eddy-St-UNIT-104-San-Francisco-CA-94115/2090941875_zpid/
Apartment For Sale,2060 Divisadero St,San Francisco,CA,94115,"$5,995,000","Studio , -- ba , 4,809 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/2060-Divisadero-St-San-Francisco-CA-94115/2090950307_zpid/
Apartment For Sale,2148 Broderick St,San Francisco,CA,94115,"$5,200,000","Studio , -- ba , 5,675 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/2148-Broderick-St-San-Francisco-CA-94115/2116867890_zpid/
New Construction,2655 Bush St # 1770VB,San Francisco,CA,94115,"$1,450,000+","1 bd , 1 ba , 1,003+ sqft",,https://www.zillow.com/community/district-at-lower-pacific-heights/2091012887_zpid/
House For Sale,2761 Pine St,San Francisco,CA,94115,"$4,995,000","4 bds , 6 ba , 3,525 sqft",Compass,https://www.zillow.com/homedetails/2761-Pine-St-San-Francisco-CA-94115/15083124_zpid/
Condo For Sale,1500 1504 Mcallister St # 1504A,San Francisco,CA,94115,"$1,299,000","2 bds , 2 ba , 1,211 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/1500-1504-Mcallister-St-1504A-San-Francisco-CA-94115/2091030306_zpid/
House For Sale,3001 Pacific Ave,San Francisco,CA,94115,"$16,000,000","8 bds , 6 ba , 13,643 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/3001-Pacific-Ave-San-Francisco-CA-94115/15081074_zpid/
Condo For Sale,1721 Baker St,San Francisco,CA,94115,"$1,495,000","2 bds , 2 ba , 1,812 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1721-Baker-St-San-Francisco-CA-94115/96023985_zpid/
