title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,15 Valdez Ave,San Francisco,CA,94112,"$1,199,000","2 bds , 2 ba , 1,166 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/15-Valdez-Ave-San-Francisco-CA-94112/15139585_zpid/
House For Sale,768 Rolph St,San Francisco,CA,94112,"$898,000","2 bds , 1 ba , 1,160 sqft",,https://www.zillow.com/homedetails/768-Rolph-St-San-Francisco-CA-94112/15177495_zpid/
House For Sale,646 London St,San Francisco,CA,94112,"$788,888","2 bds , 1 ba , 1,336 sqft",CENTURY 21 Baldini Realty,https://www.zillow.com/homedetails/646-London-St-San-Francisco-CA-94112/15176436_zpid/
House For Sale,721 Holloway Ave,San Francisco,CA,94112,"$749,000","1 bd , 1 ba , 735 sqft",Vanguard Properties,https://www.zillow.com/homedetails/721-Holloway-Ave-San-Francisco-CA-94112/15189413_zpid/
House For Sale,7 Rotteck St,San Francisco,CA,94112,"$1,795,000","4 bds , 4 ba , 2,308 sqft",Vanguard Properties,https://www.zillow.com/homedetails/7-Rotteck-St-San-Francisco-CA-94112/15185543_zpid/
Apartment For Sale,4717 4721 Mission St,San Francisco,CA,94112,"$2,795,000","Studio , -- ba , 9,900 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/4717-4721-Mission-St-San-Francisco-CA-94112/2090836380_zpid/
House For Sale,1276 Geneva Ave,San Francisco,CA,94112,"$789,000","5 bds , 3 ba , 1,839 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/1276-Geneva-Ave-San-Francisco-CA-94112/15177347_zpid/
House For Sale,399 Ellington Ave,San Francisco,CA,94112,"$799,000","2 bds , 1 ba , 1,510 sqft",,https://www.zillow.com/homedetails/399-Ellington-Ave-San-Francisco-CA-94112/15192891_zpid/
House For Sale,2 Rosella Ct,San Francisco,CA,94112,"$949,000","2 bds , 1 ba , 1,026 sqft",Vision Realty Group,https://www.zillow.com/homedetails/2-Rosella-Ct-San-Francisco-CA-94112/15188253_zpid/
House For Sale,45 Hazelwood Ave,San Francisco,CA,94112,"$1,299,000","2 bds , 1 ba , 1,215 sqft",Realty World - Advance Group,https://www.zillow.com/homedetails/45-Hazelwood-Ave-San-Francisco-CA-94112/15139603_zpid/
Foreclosure,1180 Plymouth Ave,San Francisco,CA,94112,"$899,000","2 bds , 1 ba , -- sqft",Stephen Vokshori,https://www.zillow.com/homedetails/1180-Plymouth-Ave-San-Francisco-CA-94112/15188014_zpid/
House For Sale,178 Brighton Ave,San Francisco,CA,94112,"$1,050,000","3 bds , 2.5 ba , 1,779 sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/178-Brighton-Ave-San-Francisco-CA-94112/15189095_zpid/
House For Sale,157 College Ave,San Francisco,CA,94112,"$949,888","3 bds , 1 ba , 1,200 sqft",Anchor Realty,https://www.zillow.com/homedetails/157-College-Ave-San-Francisco-CA-94112/15184315_zpid/
House For Sale,26 Stoneyford Ave,SAN FRANCISCO,CA,94112,"$899,000","2 bds , 1 ba , 862 sqft",Coldwell Banker Residential Brokerage - San Francisco Lombard,https://www.zillow.com/homedetails/26-Stoneyford-Ave-San-Francisco-CA-94112/15165956_zpid/
House For Sale,328 Phelan Ave,San Francisco,CA,94112,"$899,000","2 bds , 1 ba , 942 sqft",Jackson Fuller Real Estate,https://www.zillow.com/homedetails/328-Phelan-Ave-San-Francisco-CA-94112/15139663_zpid/
House For Sale,53 Florentine St,San Francisco,CA,94112,"$849,000","3 bds , 1 ba , 1,471 sqft",Sunset West Investment,https://www.zillow.com/homedetails/53-Florentine-St-San-Francisco-CA-94112/15178784_zpid/
House For Sale,807 Lisbon St,San Francisco,CA,94112,"$499,000","2 bds , 1 ba , 1,421 sqft",Brokers Connection Incorporate,https://www.zillow.com/homedetails/807-Lisbon-St-San-Francisco-CA-94112/15177191_zpid/
House For Sale,1319 Alemany Blvd,San Francisco,CA,94112,"$1,100,000","3 bds , 2 ba , 1,128 sqft","American Marketing Sys., Inc",https://www.zillow.com/homedetails/1319-Alemany-Blvd-San-Francisco-CA-94112/15186851_zpid/
House For Sale,270 Foote Ave,SAN FRANCISCO,CA,94112,"$1,520,000","3 bds , 2 ba , 1,918 sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/270-Foote-Ave-San-Francisco-CA-94112/15191872_zpid/
House For Sale,161 Majestic Ave,San Francisco,CA,94112,"$1,499,000","7 bds , 5 ba , 3,200 sqft",Coldwell Banker Residential Brokerage - San Francisco Sunset,https://www.zillow.com/homedetails/161-Majestic-Ave-San-Francisco-CA-94112/89237842_zpid/
House For Sale,137 Broad St,San Francisco,CA,94112,"$699,000","3 bds , 1 ba , 1,300 sqft",Optimum Realty,https://www.zillow.com/homedetails/137-Broad-St-San-Francisco-CA-94112/15194795_zpid/
Condo For Sale,1490 Ocean Ave # 205,San Francisco,CA,94112,"$1,395,000","2 bds , 2 ba , 997 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1490-Ocean-Ave-205-San-Francisco-CA-94112/2091240414_zpid/
Condo For Sale,1490 Ocean Ave # 301,San Francisco,CA,94112,"$1,560,000","3 bds , 2 ba , 1,308 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1490-Ocean-Ave-301-San-Francisco-CA-94112/2091293853_zpid/
