title,address,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,1188 Valencia St # NFWEU9,San Francisco,CA,94110,"$859,000+","1 bd , 1 ba , 624+ sqft",,https://www.zillow.com/community/1188-valencia/2091584969_zpid/
Condo For Sale,1384B Florida St,San Francisco,CA,94110,"$799,000","1 bd , 1.5 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/1384B-Florida-St-San-Francisco-CA-94110/2090789736_zpid/
House For Sale,497 Ellsworth St,San Francisco,CA,94110,"$799,000","1 bd , 1 ba , 625 sqft",Vanguard Properties,https://www.zillow.com/homedetails/497-Ellsworth-St-San-Francisco-CA-94110/15163248_zpid/
New Construction,1188 Valencia St # GOX6UH,San Francisco,CA,94110,"$1,495,000+","2 bds , 2 ba , 881+ sqft",,https://www.zillow.com/community/1188-valencia/2091353935_zpid/
Apartment For Sale,3830 Mission St,San Francisco,CA,94110,"$1,298,000","Studio , -- ba , 2,462 sqft",Garrison Properties,https://www.zillow.com/homedetails/3830-Mission-St-San-Francisco-CA-94110/2090836209_zpid/
Apartment For Sale,1183-1185 Hampshire St,SAN FRANCISCO,CA,94110,"$1,995,000","5 bds , 5 ba , 2,320 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1183-1185-Hampshire-St-San-Francisco-CA-94110/15151914_zpid/
House For Sale,2725 20th St,San Francisco,CA,94110,"$1,195,000","3 bds , 2 ba , 1,330 sqft",Redfin,https://www.zillow.com/homedetails/2725-20th-St-San-Francisco-CA-94110/15150269_zpid/
Coming Soon,730 Gates St,San Francisco,CA,94110,"$1,690,900","3 bds , 4 ba , 1,600 sqft",,https://www.zillow.com/homedetails/730-Gates-St-San-Francisco-CA-94110/15164681_zpid/
Apartment For Sale,2310 Bryant St,San Francisco,CA,94110,"$1,950,000","4 bds , 3 ba , 1,838 sqft",Mai Realty & Loan,https://www.zillow.com/homedetails/2310-Bryant-St-San-Francisco-CA-94110/2090861046_zpid/
Apartment For Sale,3241 3247 23rd St,San Francisco,CA,94110,"$2,250,000","Studio , -- ba , 4,696 sqft",Marcus & Millichap,https://www.zillow.com/homedetails/3241-3247-23rd-St-San-Francisco-CA-94110/2090903041_zpid/
