title,address,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,51 Innes Ct # ML2E99,San Francisco,CA,94124,"$895,000+","2 bds , 2 ba , 1,185+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-monarch/2090928754_zpid/
House For Sale,1747 Quesada Ave,San Francisco,CA,94124,"$875,000","2 bds , 1.5 ba , 1,767 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/1747-Quesada-Ave-San-Francisco-CA-94124/15157131_zpid/
Apartment For Sale,1747 49 Quesada Ave,San Francisco,CA,94124,"$875,000","Studio , -- ba , 1,767 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/1747-49-Quesada-Ave-San-Francisco-CA-94124/2090817418_zpid/
House For Sale,66 Gould St,San Francisco,CA,94124,"$899,000","3 bds , 2 ba , 1,250 sqft",,https://www.zillow.com/homedetails/66-Gould-St-San-Francisco-CA-94124/15159439_zpid/
House For Sale,1423 Shafter Ave,San Francisco,CA,94124,"$888,000","3 bds , 3 ba , 1,590 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/1423-Shafter-Ave-San-Francisco-CA-94124/15154056_zpid/
New Construction,11 Innes Ct # MPL1R2,San Francisco,CA,94124,"$910,000+","2 bds , 2 ba , 1,212+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-engel/2091936880_zpid/
New Construction,11 Innes Ct # N3VP76,San Francisco,CA,94124,"$850,000+","2 bds , 2 ba , 1,156+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-engel/2091617061_zpid/
New Construction,11 Innes Ct # 5OSFC9,San Francisco,CA,94124,"$925,000+","2 bds , 2 ba , 1,342+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-engel/2092685927_zpid/
New Construction,11 Innes Ct # MQ4UCG,San Francisco,CA,94124,"$940,000+","2 bds , 2 ba , 1,318+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-engel/2091446654_zpid/
New Construction,51 Innes Ct # BVC26R,San Francisco,CA,94124,"$1,005,000+","2 bds , 2 ba , 1,080+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-monarch/2093186605_zpid/
New Construction,51 Innes Ct # TBDYUH,San Francisco,CA,94124,"$869,000+","2 bds , 2 ba , 1,140+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-monarch/2091617066_zpid/
Lot/Land For Sale,1065 Innes Ave # V,SAN FRANCISCO,CA,94124,"$525,000","2,500 sqft lot",Zephyr Real Estate,https://www.zillow.com/homedetails/1065-Innes-Ave-V-San-Francisco-CA-94124/124846554_zpid/
Lot/Land For Sale,1067 Innes Ave,San Francisco,CA,94124,"$525,000","2,500 sqft lot",Zephyr Real Estate,https://www.zillow.com/homedetails/1067-Innes-Ave-San-Francisco-CA-94124/2090901033_zpid/
Lot/Land For Sale,1065 Innes Ave,San Francisco,CA,94124,"$1,575,000","7,501 sqft lot",Zephyr Real Estate,https://www.zillow.com/homedetails/1065-Innes-Ave-San-Francisco-CA-94124/2090901476_zpid/
House For Sale,1746 Revere Ave,San Francisco,CA,94124,"$889,000","3 bds , 2 ba , 1,414 sqft",Vanguard Properties,https://www.zillow.com/homedetails/1746-Revere-Ave-San-Francisco-CA-94124/15157108_zpid/
New Construction,11 Innes Ct # 5NOU5H,San Francisco,CA,94124,"$839,000+","2 bds , 2 ba , 1,156+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-engel/2091792394_zpid/
Lot/Land For Sale,1063 Innes Ave,San Francisco,CA,94124,"$525,000","2,500 sqft lot",Zephyr Real Estate,https://www.zillow.com/homedetails/1063-Innes-Ave-San-Francisco-CA-94124/2090923026_zpid/
New Construction,51 Innes Ct # XPZYYZ,San Francisco,CA,94124,"$939,000+","2 bds , 2 ba , 1,115+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-monarch/2090928753_zpid/
New Construction,51 Innes Ct # XRNCR5,San Francisco,CA,94124,"$650,000+","1 bd , 1 ba , 670+ sqft",,https://www.zillow.com/community/san-francisco-shipyard-monarch/2090928752_zpid/
House For Sale,1556 Thomas Ave,San Francisco,CA,94124,"$595,000","2 bds , 1 ba , 1,018 sqft",Wiener & Assoc./A. Lewin Prop.,https://www.zillow.com/homedetails/1556-Thomas-Ave-San-Francisco-CA-94124/15157690_zpid/
House For Sale,2 Hawkins Ln,San Francisco,CA,94124,"$1,175,000","3 bds , 2 ba , 1,910 sqft",,https://www.zillow.com/homedetails/2-Hawkins-Ln-San-Francisco-CA-94124/15153350_zpid/
Apartment For Sale,4928 4930 3rd St,San Francisco,CA,94124,"$795,000","Studio , -- ba , -- sqft",,https://www.zillow.com/homedetails/4928-4930-3rd-St-San-Francisco-CA-94124/2090950612_zpid/
Apartment For Sale,1733-1735 Lane St,SAN FRANCISCO,CA,94124,"$988,000","Studio , -- ba , 2,700 sqft",Marshall Realty,https://www.zillow.com/homedetails/1733-1735-Lane-St-San-Francisco-CA-94124/15157229_zpid/
House For Sale,2915 Jennings St,San Francisco,CA,94124,"$998,888","3 bds , 3 ba , 1,419 sqft",,https://www.zillow.com/homedetails/2915-Jennings-St-San-Francisco-CA-94124/15154459_zpid/
Apartment For Sale,1586-1588 Hudson Ave,SAN FRANCISCO,CA,94124,"$1,295,000","Studio , -- ba , 2,710 sqft","Renovation Design Realty, Inc.",https://www.zillow.com/homedetails/1586-1588-Hudson-Ave-San-Francisco-CA-94124/15155686_zpid/
