,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
669,Condo For Sale,1501 Filbert St # TH1A,San Francisco,CA,94123,2749000.0,"3 bds , 3.5 ba , 2,345 sqft",King Realty Group,https://www.zillow.com/homedetails/1501-Filbert-St-TH1A-San-Francisco-CA-94123/125243355_zpid/,3.0,3.5,2345.0,condo,
675,Apartment For Sale,2254 2258a Union St,San Francisco,CA,94123,4500000.0,"Studio , -- ba , 5,400 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/2254-2258a-Union-St-San-Francisco-CA-94123/2093739434_zpid/,0.0,,5400.0,apartment,
688,House For Sale,205 Castenada Ave,San Francisco,CA,94116,2295000.0,"4 bds , 3 ba , 2,917 sqft",,https://www.zillow.com/homedetails/205-Castenada-Ave-San-Francisco-CA-94116/15132950_zpid/,4.0,3.0,2917.0,house,"(37.74747355, -122.462405598127)"
690,House For Sale,1967 34th Ave,San Francisco,CA,94116,899000.0,"2 bds , 1 ba , 800 sqft",Coldwell Banker Residential Brokerage - San Mateo-Downtown,https://www.zillow.com/homedetails/1967-34th-Ave-San-Francisco-CA-94116/15114184_zpid/,2.0,1.0,800.0,house,"(37.7504470204082, -122.49243455102)"
700,Condo For Sale,601 Van Ness Ave APT 147,San Francisco,CA,94102,499888.0,"Studio , 1 ba , 594 sqft",KG Real Estate Services,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-147-San-Francisco-CA-94102/15077671_zpid/,0.0,1.0,594.0,condo,
707,New Construction,1188 Valencia St # GOX6UH,San Francisco,CA,94110,1495000.0,"2 bds , 2 ba , 881+ sqft",,https://www.zillow.com/community/1188-valencia/2091353935_zpid/,2.0,2.0,881.0,new,
716,New Construction,188 Quane St,San Francisco,CA,94110,1495000.0,"2 bds , 3 ba , -- sqft",,https://www.zillow.com/homedetails/188-Quane-St-San-Francisco-CA-94110/2090926568_zpid/,2.0,3.0,,new,"(37.7537265714286, -122.424795469388)"
718,Apartment For Sale,166-168 Albion St,SAN FRANCISCO,CA,94110,1995000.0,"Studio , -- ba , 4,110 sqft",,https://www.zillow.com/homedetails/166-168-Albion-St-San-Francisco-CA-94110/15143850_zpid/,0.0,,4110.0,apartment,"(37.7637266666667, -122.422849333333)"
719,House For Sale,527 Peralta Ave,San Francisco,CA,94110,899000.0,"3 bds , 1 ba , 1,025 sqft",BHHS California Realty,https://www.zillow.com/homedetails/527-Peralta-Ave-San-Francisco-CA-94110/15160784_zpid/,3.0,1.0,1025.0,house,"(37.7440903265306, -122.408554836735)"
721,Apartment For Sale,3549 Mission St,San Francisco,CA,94110,995000.0,"Studio , -- ba , 2,500 sqft",Global Realty,https://www.zillow.com/homedetails/3549-Mission-St-San-Francisco-CA-94110/15163473_zpid/,0.0,,2500.0,apartment,"(37.7724921, -122.4188648)"
