sqft,gross_taxes_2017,area,sub_area,primary_broker,listing_id,property_type,age,school_info,price,address,type,link,features,strata_maintenance_fees,bath,strata_type,bed,amenities
1271,3263,Vancouver West,Fairview,Engel & Volkers Vancouver,R2231382,Apt/Condo,Built in 2012 (6 yrs old),"[{'distance': '0.6 km', 'address': '900 School Green, Vancouver', 'grades': 'K - 7', 'name': 'False Creek Elementary School', 'latitude': 49.266696, 'longitude': -123.1267323, 'category': 'Public'}, {'distance': '3.2 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.6 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '4157 Oak St, Vancouver', 'grades': 'K', 'name': 'Westside Montessori School', 'latitude': 49.2485904, 'longitude': -123.127963, 'category': 'Independent'}]",1625000,701-2411 Heather Street,Apt/Condo,https://www.rew.ca/properties/R2231382/701-2411-heather-street-vancouver-bc,,493,2,Freehold Strata,2,"Bike Room, Elevator, Exercise Centre, In Suite Laundry"
3684,11538,Vancouver West,Fairview,Westside Tom Gradecak Realty,R2231540,Other,Built in 2001 (17 yrs old),"[{'distance': '0.9 km', 'address': '4070 Oak St, Vancouver', 'grades': 'K - 7', 'name': 'Emily Carr Elementary School', 'latitude': 49.2500982, 'longitude': -123.1274321, 'category': 'Public'}, {'distance': '2.1 km', 'address': '5025 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'Eric Hamber Secondary School', 'latitude': 49.239677, 'longitude': -123.1246002, 'category': 'Public'}, {'distance': '1.0 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4157 Oak St, Vancouver', 'grades': 'K', 'name': 'Westside Montessori School', 'latitude': 49.2485904, 'longitude': -123.127963, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4176 Alexandra St, Vancouver', 'grades': 'K - 12', 'name': 'York House School', 'latitude': 49.249007, 'longitude': -123.141144, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '998 West 26th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Talmud Torah Elementary School', 'latitude': 49.2478568, 'longitude': -123.1268159, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4195 Alexandra St, Vancouver', 'grades': '8 - 12', 'name': 'Little Flower Academy', 'latitude': 49.248696, 'longitude': -123.14211, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}]",4200000,1234 48 W 15th Avenue,Other,https://www.rew.ca/properties/R2231540/1234-48-w-15th-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Microwave, Security System, Vacuum Blt. In, Wet Bar",0,6,Freehold Strata,7,"Garden, In Suite Laundry"
1842,5753,Vancouver West,Fairview,Westside Tom Gradecak Realty,R2231541,Duplex,Built in 2001 (17 yrs old),"[{'distance': '0.9 km', 'address': '4070 Oak St, Vancouver', 'grades': 'K - 7', 'name': 'Emily Carr Elementary School', 'latitude': 49.2500982, 'longitude': -123.1274321, 'category': 'Public'}, {'distance': '2.1 km', 'address': '5025 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'Eric Hamber Secondary School', 'latitude': 49.239677, 'longitude': -123.1246002, 'category': 'Public'}, {'distance': '1.0 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4157 Oak St, Vancouver', 'grades': 'K', 'name': 'Westside Montessori School', 'latitude': 49.2485904, 'longitude': -123.127963, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4176 Alexandra St, Vancouver', 'grades': 'K - 12', 'name': 'York House School', 'latitude': 49.249007, 'longitude': -123.141144, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '998 West 26th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Talmud Torah Elementary School', 'latitude': 49.2478568, 'longitude': -123.1268159, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4195 Alexandra St, Vancouver', 'grades': '8 - 12', 'name': 'Little Flower Academy', 'latitude': 49.248696, 'longitude': -123.14211, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}]",2200000,1234 W 15th Avenue,Duplex,https://www.rew.ca/properties/R2231541/1234-w-15th-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Microwave, Security System, Vacuum Blt. In, Wet Bar",0,3,Freehold Strata,3,"Garden, In Suite Laundry"
655,1349,Vancouver West,Downtown West,Century 21 In Town Realty,R2230616,Apt/Condo,Built in 2000 (18 yrs old),"[{'distance': '0.3 km', 'address': '55 Expo Blvd, Vancouver', 'grades': 'K - 7', 'name': 'Crosstown Elementary School', 'latitude': 49.2776758, 'longitude': -123.1038363, 'category': 'Public'}, {'distance': '0.5 km', 'address': '300-328 Water St, Vancouver', 'grades': '8 - 12', 'name': 'Sino Bright School BC', 'latitude': 49.2843337, 'longitude': -123.108896, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'grades': '10 - 12', 'name': 'Columbia Academy', 'latitude': 49.2827046, 'longitude': -123.1153569, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '688 Hastings St W Suite 200, Vancouver', 'grades': '8 - 12', 'name': 'Alexander Academy', 'latitude': 49.2847894, 'longitude': -123.1136766, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '530 Hornby St, Vancouver', 'grades': '8 - 10', 'name': 'Madrona Senior School', 'latitude': 49.2853201, 'longitude': -123.1172055, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '981 Nelson St, Vancouver', 'grades': '9 - 12', 'name': 'Pattison School', 'latitude': 49.28081, 'longitude': -123.124916, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}]",699000,1802-63 Keefer Place,Apt/Condo,https://www.rew.ca/properties/R2230616/1802-63-keefer-place-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,350,1,Freehold Strata,1,"Air Cond./Central, Exercise Centre, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub"
1387,2144,Vancouver West,Fairview,Faith Wilson Group,R2223137,Townhouse,Built in 1984 (34 yrs old),"[{'distance': '0.5 km', 'address': '900 School Green, Vancouver', 'grades': 'K - 7', 'name': 'False Creek Elementary School', 'latitude': 49.266696, 'longitude': -123.1267323, 'category': 'Public'}, {'distance': '2.3 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '1.0 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}]",1698000,C-1244 W 7th Avenue,Townhouse,https://www.rew.ca/properties/R2223137/c-1244-w-7th-avenue-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,342,2,Freehold Strata,2,In Suite Laundry
1027,2115,Vancouver West,Downtown West,Mla Realty,R2230395,Apt/Condo,Built in 2009 (9 yrs old),"[{'distance': '0.8 km', 'address': '55 Expo Blvd, Vancouver', 'grades': 'K - 7', 'name': 'Crosstown Elementary School', 'latitude': 49.2776758, 'longitude': -123.1038363, 'category': 'Public'}, {'distance': '2.0 km', 'address': '1755 Barclay St, Vancouver', 'grades': '8 - 12', 'name': 'King George Secondary School', 'latitude': 49.289913, 'longitude': -123.1360738, 'category': 'Public'}, {'distance': '0.1 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '0.2 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'grades': '10 - 12', 'name': 'Columbia Academy', 'latitude': 49.2827046, 'longitude': -123.1153569, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '688 Hastings St W Suite 200, Vancouver', 'grades': '8 - 12', 'name': 'Alexander Academy', 'latitude': 49.2847894, 'longitude': -123.1136766, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '981 Nelson St, Vancouver', 'grades': '9 - 12', 'name': 'Pattison School', 'latitude': 49.28081, 'longitude': -123.124916, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '530 Hornby St, Vancouver', 'grades': '8 - 10', 'name': 'Madrona Senior School', 'latitude': 49.2853201, 'longitude': -123.1172055, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '300-328 Water St, Vancouver', 'grades': '8 - 12', 'name': 'Sino Bright School BC', 'latitude': 49.2843337, 'longitude': -123.108896, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}]",1199900,1703-233 Robson Street,Apt/Condo,https://www.rew.ca/properties/R2230395/1703-233-robson-street-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave",368,2,Freehold Strata,2,"Bike Room, Club House, Recreation Center, Sauna/Steam Room, Swirlpool/Hot Tub"
1531,2330,Vancouver West,False Creek,Sotheby's Int'l Realty Canada,R2222421,Apt/Condo,Built in 1980 (38 yrs old),"[{'distance': '0.5 km', 'address': '900 School Green, Vancouver', 'grades': 'K - 7', 'name': 'False Creek Elementary School', 'latitude': 49.266696, 'longitude': -123.1267323, 'category': 'Public'}, {'distance': '2.3 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '1.0 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '981 Nelson St, Vancouver', 'grades': '9 - 12', 'name': 'Pattison School', 'latitude': 49.28081, 'longitude': -123.124916, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}]",999000,5-1201 Lamey's Mill Road,Apt/Condo,https://www.rew.ca/properties/R2222421/5-1201-lameys-mill-road-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,551,2,Leasehold prepaid-Strata,2,Elevator
1673,3519,Vancouver West,False Creek,Sutton Group West Coast Realty,R2225384,Townhouse,Built in 2010 (8 yrs old),"[{'distance': '1.5 km', 'address': '100 15th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Simon Fraser Elementary School', 'latitude': 49.2571727, 'longitude': -123.1083818, 'category': 'Public'}, {'distance': '3.7 km', 'address': '5025 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'Eric Hamber Secondary School', 'latitude': 49.239677, 'longitude': -123.1246002, 'category': 'Public'}, {'distance': '0.8 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'grades': '10 - 12', 'name': 'Columbia Academy', 'latitude': 49.2827046, 'longitude': -123.1153569, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '300-328 Water St, Vancouver', 'grades': '8 - 12', 'name': 'Sino Bright School BC', 'latitude': 49.2843337, 'longitude': -123.108896, 'category': 'Independent'}]",2288000,1653 Ontario Street,Townhouse,https://www.rew.ca/properties/R2225384/1653-ontario-street-vancouver-bc,"Clothes Washer/Dryer, ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Refrigerator",956,3,Freehold Strata,3,"Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Recreation Center, Storage"
1230,2307,Vancouver West,False Creek,Sutton Group West Coast Realty,R2225717,Apt/Condo,Built in 1990 (28 yrs old),"[{'distance': '0.7 km', 'address': '1551 Cypress St, Vancouver', 'grades': 'K - 7', 'name': 'Henry Hudson Elementary School', 'latitude': 49.2720412, 'longitude': -123.1483903, 'category': 'Public'}, {'distance': '2.0 km', 'address': '2706 Trafalgar St, Vancouver', 'grades': '8 - 12', 'name': 'Kitsilano Secondary School', 'latitude': 49.262206, 'longitude': -123.164308, 'category': 'Public'}, {'distance': '0.8 km', 'address': '1788 Broadway W Unit 200, Vancouver', 'grades': '10 - 12', 'name': 'Century High School', 'latitude': 49.2634169, 'longitude': -123.1453266, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '1351 Hornby St, Vancouver', 'grades': 'K - 7', 'name': 'Anchor Point Montessori School', 'latitude': 49.2769796, 'longitude': -123.130623, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '2040 West 10th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Madrona Primary and Junior School', 'latitude': 49.2627349, 'longitude': -123.1517134, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '2154 7th Ave W, Vancouver', 'grades': 'K - 7', 'name': ""St Augustine's School"", 'latitude': 49.2656318, 'longitude': -123.1545717, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2215 10th Ave W, Vancouver', 'grades': 'K - 12', 'name': ""St John's School"", 'latitude': 49.2629098, 'longitude': -123.1554509, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2294 10th Ave W, Vancouver', 'grades': '2 - 12', 'name': 'Fraser Academy', 'latitude': 49.2626607, 'longitude': -123.157276, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '981 Nelson St, Vancouver', 'grades': '9 - 12', 'name': 'Pattison School', 'latitude': 49.28081, 'longitude': -123.124916, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}]",1288000,534-1515 W 2nd Avenue,Apt/Condo,https://www.rew.ca/properties/R2225717/534-1515-w-2nd-avenue-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,387,2,Freehold Strata,2,"In Suite Laundry, Recreation Center, Sauna/Steam Room"
746,1873,Vancouver West,False Creek,Prompton Real Estate Serv.Inc.,R2225243,Apt/Condo,Built in 2013 (5 yrs old),"[{'distance': '1.4 km', 'address': '100 15th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Simon Fraser Elementary School', 'latitude': 49.2571727, 'longitude': -123.1083818, 'category': 'Public'}, {'distance': '3.6 km', 'address': '5025 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'Eric Hamber Secondary School', 'latitude': 49.239677, 'longitude': -123.1246002, 'category': 'Public'}, {'distance': '0.8 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '3020 Heather St, Vancouver', 'grades': 'K - 7', 'name': 'Blessed Sacrament School', 'latitude': 49.2583379, 'longitude': -123.1193909, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'grades': '10 - 12', 'name': 'Columbia Academy', 'latitude': 49.2827046, 'longitude': -123.1153569, 'category': 'Independent'}]",950000,803-63 W 2nd Avenue,Apt/Condo,https://www.rew.ca/properties/R2225243/803-63-w-2nd-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Microwave, Smoke Alarm, Sprinkler - Fire",364,1,Freehold Strata,2,"Air Cond./Central, Exercise Centre"
887,2178,Vancouver West,False Creek,RE/MAX Select Properties,R2226427,Apt/Condo,Built in 2010 (8 yrs old),"[{'distance': '1.6 km', 'address': '100 15th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Simon Fraser Elementary School', 'latitude': 49.2571727, 'longitude': -123.1083818, 'category': 'Public'}, {'distance': '3.8 km', 'address': '5025 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'Eric Hamber Secondary School', 'latitude': 49.239677, 'longitude': -123.1246002, 'category': 'Public'}, {'distance': '0.8 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '788 Beatty St, Vancouver', 'grades': 'K - 9', 'name': 'The Westside School', 'latitude': 49.2775706, 'longitude': -123.1134435, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '210-750 Hamilton St, Vancouver', 'grades': '10 - 12', 'name': 'Lowell High School', 'latitude': 49.2790958, 'longitude': -123.1151671, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'grades': '10 - 12', 'name': 'Columbia Academy', 'latitude': 49.2827046, 'longitude': -123.1153569, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '300-328 Water St, Vancouver', 'grades': '8 - 12', 'name': 'Sino Bright School BC', 'latitude': 49.2843337, 'longitude': -123.108896, 'category': 'Independent'}]",948000,511-1633 Ontario Street,Apt/Condo,https://www.rew.ca/properties/R2226427/511-1633-ontario-street-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,517,1,Freehold Strata,1,"Exercise Centre, In Suite Laundry"
