title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,287 Summit Way,San Francisco,CA,94132,"$1,680,000","3 bds , 2.5 ba , 2,001 sqft",Norcal Realty,https://www.zillow.com/homedetails/287-Summit-Way-San-Francisco-CA-94132/2090700202_zpid/
Condo For Sale,8100 Oceanview Ter APT 110,San Francisco,CA,94132,"$649,000","2 bds , 2 ba , 946 sqft",Coldwell Banker Residential Brokerage - San Francisco Lombard,https://www.zillow.com/homedetails/8100-Oceanview-Ter-APT-110-San-Francisco-CA-94132/67090280_zpid/
House For Sale,422 Vernon St,San Francisco,CA,94132,"$895,000","2 bds , 1 ba , 842 sqft",,https://www.zillow.com/homedetails/422-Vernon-St-San-Francisco-CA-94132/15189726_zpid/
House For Sale,3821 Alemany Blvd,San Francisco,CA,94132,"$949,000","3 bds , 3 ba , 1,915 sqft",,https://www.zillow.com/homedetails/3821-Alemany-Blvd-San-Francisco-CA-94132/15195298_zpid/
Condo For Sale,3981 Alemany Blvd APT 115,San Francisco,CA,94132,"$698,888","2 bds , 2 ba , 948 sqft",,https://www.zillow.com/homedetails/3981-Alemany-Blvd-APT-115-San-Francisco-CA-94132/67395814_zpid/
Condo For Sale,103 Summit Way,San Francisco,CA,94132,"$1,529,000","3 bds , 2.5 ba , 2,133 sqft",Sequoia Real Estate,https://www.zillow.com/homedetails/103-Summit-Way-San-Francisco-CA-94132/2092040976_zpid/
Apartment For Sale,721 725 Randolph St,San Francisco,CA,94132,"$1,450,000","Studio , -- ba , 2,386 sqft",MaxReal,https://www.zillow.com/homedetails/721-725-Randolph-St-San-Francisco-CA-94132/2093033234_zpid/
