title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,257 Crescent Ave,San Francisco,CA,94110,"$899,000","3 bds , 1 ba , 1,430 sqft",Berkshire Hathaway-Franciscan,https://www.zillow.com/homedetails/257-Crescent-Ave-San-Francisco-CA-94110/15164268_zpid/
New Construction,1188 Valencia St # MKDGFJ,San Francisco,CA,94110,"$725,000+","-- bds , 1 ba , 430+ sqft",,https://www.zillow.com/community/1188-valencia/2090697855_zpid/
Condo For Sale,601 Alabama St UNIT 209,San Francisco,CA,94110,"$1,189,000","3 bds , 2 ba , 1,445 sqft",Compass,https://www.zillow.com/homedetails/601-Alabama-St-UNIT-209-San-Francisco-CA-94110/111711106_zpid/
New Construction,1188 Valencia St # 507,San Francisco,CA,94110,"$725,000","Studio , 1 ba , 430 sqft",,https://www.zillow.com/homedetails/1188-Valencia-St-507-San-Francisco-CA-94110/2090712639_zpid/
House For Sale,985 San Bruno Ave,San Francisco,CA,94110,"$949,000","2 bds , 1 ba , 890 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/985-San-Bruno-Ave-San-Francisco-CA-94110/15151008_zpid/
Apartment For Sale,354 Crescent Ave,San Francisco,CA,94110,"$1,098,000","Studio , -- ba , 1,976 sqft",Compass,https://www.zillow.com/homedetails/354-Crescent-Ave-San-Francisco-CA-94110/15164550_zpid/
Apartment For Sale,1132-1134 Hampshire St,SAN FRANCISCO,CA,94110,"$1,715,000","Studio , -- ba , 1,610 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/1132-1134-Hampshire-St-San-Francisco-CA-94110/15151871_zpid/
House For Sale,92 Santa Marina St,San Francisco,CA,94110,"$1,149,000","2 bds , 2 ba , 1,125 sqft",,https://www.zillow.com/homedetails/92-Santa-Marina-St-San-Francisco-CA-94110/15163430_zpid/
Condo For Sale,45 Bartlett St UNIT 313,San Francisco,CA,94110,"$789,000","1 bd , 1 ba , 631 sqft",The Agency,https://www.zillow.com/homedetails/45-Bartlett-St-UNIT-313-San-Francisco-CA-94110/2090753790_zpid/
Apartment For Sale,35 41 Holly Park Cir,San Francisco,CA,94110,"$1,950,000","Studio , -- ba , 3,000 sqft",Laurel Realty & Investment,https://www.zillow.com/homedetails/35-41-Holly-Park-Cir-San-Francisco-CA-94110/2090778273_zpid/
Condo For Sale,1384B Florida St,San Francisco,CA,94110,"$799,000","1 bd , 1.5 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/1384B-Florida-St-San-Francisco-CA-94110/2090789736_zpid/
House For Sale,497 Ellsworth St,San Francisco,CA,94110,"$799,000","1 bd , 1 ba , 625 sqft",Vanguard Properties,https://www.zillow.com/homedetails/497-Ellsworth-St-San-Francisco-CA-94110/15163248_zpid/
Apartment For Sale,3830 Mission St,San Francisco,CA,94110,"$1,298,000","Studio , -- ba , 2,462 sqft",Garrison Properties,https://www.zillow.com/homedetails/3830-Mission-St-San-Francisco-CA-94110/2090836209_zpid/
Apartment For Sale,1183-1185 Hampshire St,SAN FRANCISCO,CA,94110,"$1,995,000","5 bds , 5 ba , 2,320 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1183-1185-Hampshire-St-San-Francisco-CA-94110/15151914_zpid/
House For Sale,2725 20th St,San Francisco,CA,94110,"$1,195,000","3 bds , 2 ba , 1,330 sqft",Redfin,https://www.zillow.com/homedetails/2725-20th-St-San-Francisco-CA-94110/15150269_zpid/
Coming Soon,730 Gates St,San Francisco,CA,94110,"$1,690,900","3 bds , 4 ba , 1,600 sqft",,https://www.zillow.com/homedetails/730-Gates-St-San-Francisco-CA-94110/15164681_zpid/
Apartment For Sale,2310 Bryant St,San Francisco,CA,94110,"$1,950,000","4 bds , 3 ba , 1,838 sqft",Mai Realty & Loan,https://www.zillow.com/homedetails/2310-Bryant-St-San-Francisco-CA-94110/2090861046_zpid/
Apartment For Sale,3241 3247 23rd St,San Francisco,CA,94110,"$2,250,000","Studio , -- ba , 4,696 sqft",Marcus & Millichap,https://www.zillow.com/homedetails/3241-3247-23rd-St-San-Francisco-CA-94110/2090903041_zpid/
For Sale by Owner,27 Putnam St,San Francisco,CA,94110,"$999,000","3 bds , 2 ba , 800 sqft",,https://www.zillow.com/homedetails/27-Putnam-St-San-Francisco-CA-94110/15162974_zpid/
Apartment For Sale,29 31a Highland Ave,San Francisco,CA,94110,"$1,499,000","Studio , -- ba , 3,735 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/29-31a-Highland-Ave-San-Francisco-CA-94110/2090908365_zpid/
House For Sale,188 Quane St,San Francisco,CA,94110,"$1,495,000","2 bds , 3 ba , 1,080 sqft",,https://www.zillow.com/homedetails/188-Quane-St-San-Francisco-CA-94110/2090926568_zpid/
Apartment For Sale,671-673 Shotwell St,SAN FRANCISCO,CA,94110,"$2,095,000","Studio , -- ba , 3,318 sqft",Vanguard Properties,https://www.zillow.com/homedetails/671-673-Shotwell-St-San-Francisco-CA-94110/15145763_zpid/
Condo For Sale,1185 Hampshire St,San Francisco,CA,94110,"$997,500","2 bds , 1.5 ba , 1,245 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1185-Hampshire-St-San-Francisco-CA-94110/2090942102_zpid/
Condo For Sale,1861 Alabama St # 18632,San Francisco,CA,94110,"$550,000","1 bd , 1 ba , 900 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1861-Alabama-St-18632-San-Francisco-CA-94110/2090969798_zpid/
Apartment For Sale,1294 1298 Guerrero St,San Francisco,CA,94110,"$1,799,000","Studio , -- ba , 2,880 sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/1294-1298-Guerrero-St-San-Francisco-CA-94110/2094379630_zpid/
